b,alpha
0.335,0.005758708743792272
0.335,0.011517066967417396
0.335,0.01727474416774362
0.335,0.023031410088319514
0.335,0.028786734841309565
0.335,0.03454038902576462
0.335,0.04029204384845649
0.335,0.04604137124155877
0.335,0.05178804398200844
0.335,0.057531735808640815
0.335,0.06327212153847417
0.335,0.06900887718296009
0.335,0.07474168006221307
0.335,0.08047020891874636
0.335,0.08619414402936602
0.335,0.09191316731620534
0.335,0.09762696245619559
0.335,0.10333521498846313
0.335,0.10903761242115666
0.335,0.11473384433532284
0.335,0.12042360248803899
0.335,0.12610658091296062
0.335,0.1317824760193232
0.335,0.13745098668865058
0.335,0.14311181436958778
0.335,0.1487646631703347
0.335,0.15440923994910147
0.335,0.16004525440200926
0.335,0.16567241914885897
0.335,0.17129044981636932
0.335,0.176899065119037
0.335,0.18249798693743263
0.335,0.18808694039395796
0.335,0.19366565392617446
0.335,0.19923385935718274
0.335,0.2047912919637764
0.335,0.2103376905415811
0.335,0.21587279746761864
0.335,0.22139635876017993
0.335,0.22690812413594016
0.335,0.23240784706421747
0.385,0.23789528481870295
0.385,0.24337019852610023
0.385,0.24883235321233083
0.385,0.2542815178456646
0.385,0.25971746537729934
0.385,0.2651399727791173
0.385,0.27054882107855854
0.385,0.2759437953909704
0.385,0.2813246849490747
0.385,0.2866912831298007
0.385,0.29204338747839864
0.385,0.2973807997299198
0.385,0.3027033258280314
0.385,0.30801077594130544
0.385,0.31330296447682543
0.385,0.31857971009135305
0.385,0.3238408356999334
0.385,0.3290861684820563
0.385,0.334315539885465
0.385,0.33952878562742467
0.385,0.3447257456938531
0.385,0.34990626433601446
0.385,0.3550701900650314
0.385,0.36021737564421813
0.385,0.3653476780792496
0.385,0.37046095860623823
0.385,0.37555708267778276
0.385,0.38063591994705614
0.385,0.3856973442499208
0.385,0.39074123358516466
0.385,0.39576747009303714
0.385,0.40077594003180594
0.385,0.40576653375283706
0.385,0.41073914567389663
0.385,0.4156936742508672
0.385,0.4206300219479958
0.385,0.42554809520661874
0.385,0.4304478044124718
0.385,0.4353290638616911
0.385,0.44019179172543343
0.385,0.44503591001334264
0.385,0.44986134453577026
0.385,0.45466802486487706
0.385,0.459455884294706
0.385,0.46422485980016254
0.385,0.46897489199514236
0.385,0.47370592508963466
0.385,0.47841790684606533
0.385,0.48311078853480816
0.385,0.4877845248889415
0.385,0.492439074058349
0.385,0.4970743975631403
0.385,0.5016904602464903
0.385,0.5062872302269547
0.385,0.5108646788502841
0.385,0.515422780640773
0.385,0.5199615132522287
0.385,0.5244808574185821
0.385,0.5289807969041798
0.385,0.5334613184538227
0.385,0.5379224117425575
0.385,0.5423640693253139
0.385,0.546786286586352
0.385,0.5511890616886558
0.435,0.5555723955232151
0.435,0.5599362916582922
0.435,0.5642807562886969
0.435,0.5686057981850823
0.435,0.5729114286433242
0.435,0.577197661433981
0.435,0.5814645127519208
0.435,0.585712001166064
0.435,0.5899401475693503
0.435,0.5941489751288981
0.435,0.5983385092364442
0.435,0.6025087774589779
0.435,0.6066598094897655
0.435,0.6107916370995847
0.435,0.61490429408837
0.435,0.6189978162372051
0.435,0.6230722412606243
0.435,0.6271276087594179
0.435,0.6311639601737391
0.435,0.6351813387367334
0.435,0.6391797894285419
0.435,0.6431593589308017
0.435,0.6471200955816175
0.435,0.651062049330997
0.435,0.6549852716968195
0.435,0.6588898157212801
0.435,0.6627757359278745
0.435,0.6666430882789108
0.435,0.6704919301335484
0.435,0.6743223202064051
0.435,0.678134318526708
0.435,0.6819279863979844
0.435,0.6857033863583626
0.435,0.6894605821414017
0.435,0.6931996386375465
0.435,0.6969206218561
0.435,0.700623598887843
0.435,0.7043086378682032
0.435,0.70797580794103
0.435,0.7116251792229543
0.435,0.7152568227683391
0.485,0.7188708105348259
0.485,0.7224672153494883
0.485,0.7260461108755534
0.485,0.7296075715797328
0.485,0.7331516727001527
0.485,0.7366784902148453
0.485,0.7401881008108684
0.485,0.7436805818539717
0.485,0.7471560113588771
0.485,0.750614467960132
0.485,0.7540560308835207
0.485,0.7574807799180896
0.485,0.7608887953886935
0.485,0.7642801581291613
0.485,0.7676549494559808
0.485,0.7710132511425611
0.485,0.7743551453940452
0.485,0.7776807148226782
0.485,0.7809900424236925
0.485,0.784283211551771
0.485,0.7875603058980023
0.485,0.7908214094673898
0.485,0.7940666065568678
0.485,0.7972959817338376
0.485,0.8005096198152087
0.485,0.803707605846956
0.51,0.8068900250841448
0.51,0.8100569629714828
0.51,0.8132085051243195
0.51,0.8163447373101519
0.51,0.8194657454305828
0.51,0.8225716155037526
0.51,0.8256624336472255
0.51,0.8287382860613163
0.51,0.8317992590128886
0.51,0.8348454388195565
0.51,0.8378769118343392
0.51,0.8408937644307304
0.51,0.8438960829881985
0.51,0.8468839538780649
0.51,0.8498574634498257
0.535,0.8528166980178443
0.535,0.8557617438484343
0.535,0.8586926871473429
0.535,0.8616096140475944
0.535,0.8645126105977097
0.535,0.8674017627502895
0.535,0.870277156350953
0.535,0.8731388771276327
0.535,0.875987010680197
0.535,0.8788216424704351
0.535,0.8816428578123452
0.535,0.8844507418627708
0.535,0.8872453796123454
0.535,0.890026855876744
0.535,0.892795255288249
0.56,0.8955506622876173
0.56,0.898293161116236
0.56,0.9010228358085646
0.56,0.9037397701848685
0.56,0.9064440478442197
0.56,0.9091357521577752
0.56,0.9118149662623145
0.56,0.9144817730540408
0.56,0.9171362551826361
0.56,0.9197784950455619
0.56,0.9224085747826098
0.56,0.9250265762706795
0.56,0.9276325811188006
0.56,0.9302266706633767
0.585,0.9328089259636506
0.585,0.9353794277973975
0.585,0.937938256656814
0.585,0.9404854927446342
0.585,0.943021215970434
0.585,0.9455455059471477
0.585,0.9480584419877651
0.585,0.9505601031022316
0.585,0.9530505679945287
0.585,0.9555299150599305
0.585,0.9579982223824495
0.585,0.9604555677324453
0.585,0.9629020285644052
0.61,0.9653376820148947
0.61,0.9677626049006601
0.61,0.9701768737169018
0.61,0.9725805646356863
0.61,0.9749737535045175
0.61,0.9773565158450576
0.61,0.97972892685198
0.61,0.9820910613919748
0.61,0.9844429940028777
0.61,0.9867847988929461
0.61,0.9891165499402522
0.61,0.9914383206922115
0.635,0.9937501843652331
0.635,0.9960522138444869
0.635,0.9983444816837985
0.635,1.0006270601056444
0.635,1.0029000210012764
0.635,1.005163435930945
0.635,1.0074173761242318
0.635,1.0096619124804875
0.635,1.011897115569374
0.635,1.014123055631504
0.635,1.016339802579178
0.635,1.0185474259972174
0.66,1.020745995143891
0.66,1.0229355789519308
0.66,1.0251162460296364
0.66,1.0272880646620723
0.66,1.0294511028123368
0.66,1.0316054281229303
0.66,1.03375110791719
0.66,1.035888209200814
0.66,1.038016798663458
0.66,1.04013694268041
0.66,1.042248707314337
0.66,1.0443521583171071
0.685,1.0464473611316816
0.685,1.04853438089408
0.685,1.0506132824354057
0.685,1.0526841302839478
0.685,1.0547469886673457
0.685,1.0568019215148152
0.685,1.058848992459443
0.685,1.0608882648405418
0.685,1.062919801706065
0.685,1.0649436658150857
0.685,1.0669599196403317
0.71,1.068968625370782
0.71,1.0709698449143188
0.71,1.0729636399004383
0.71,1.0749500716830171
0.71,1.0769292013431322
0.71,1.0789010896919415
0.71,1.0808657972736138
0.71,1.0828233843683124
0.71,1.0847739109952361
0.71,1.0867174369157109
0.71,1.0886540216363327
0.71,1.090583724412167
0.71,1.0925066042499934
0.71,1.0944227199116106
0.71,1.0963321299171858
0.76,1.0982348925486582
0.76,1.1001310658531964
0.76,1.1020207076467026
0.76,1.1039038755173718
0.76,1.1057806268292993
0.76,1.1076510187261448
0.76,1.109515108134841
0.76,1.111372951769365
0.76,1.113224606134547
0.76,1.1150701275299486
0.76,1.1169095720537787
0.76,1.1187429956068762
0.76,1.1205704538967356
0.76,1.122392002441595
0.76,1.1242076965745762
0.76,1.1260175914478798
0.76,1.1278217420370402
0.76,1.1296202031452336
0.76,1.1314130294076492
0.76,1.1332002752959154
0.81,1.134981995122588
0.81,1.1367582430457017
0.81,1.1385290730733786
0.81,1.1402945390685062
0.81,1.1420546947534769
0.81,1.143809593714994
0.81,1.1455592894089444
0.81,1.1473038351653435
0.81,1.1490432841933467
0.81,1.1507776895863366
0.81,1.1525071043270798
0.81,1.1542315812929647
0.81,1.1559511732613097
0.81,1.1576659329147596
0.81,1.159375912846756
0.81,1.1610811655670947
0.81,1.1627817435075682
0.81,1.1644776990276968
0.86,1.1661690844205506
0.86,1.1678559519186607
0.86,1.169538353700034
0.86,1.1712163418942585
0.86,1.1728899685887153
0.86,1.1745592858348899
0.86,1.1762243456547967
0.86,1.1778852000475113
0.86,1.1795419009958132
0.86,1.1811945004729545
0.86,1.1828430504495406
0.86,1.1844876029005422
0.86,1.1861282098124328
0.86,1.1877649231904612
0.86,1.1893977950660584
0.86,1.1910268775043902
0.86,1.1926522226120513
0.91,1.1942738825449135
0.91,1.195891909516131
0.91,1.1975063558043006
0.91,1.1991172737617986
0.91,1.2007247158232777
0.91,1.202328734514353
0.91,1.2039293824604649
0.91,1.205526712395935
0.91,1.2071207771732175
0.91,1.2087116297723572
0.91,1.210299323310655
0.91,1.2118839110525523
0.935,1.2134654464197443
0.935,1.2150439830015212
0.935,1.2166195745653592
0.935,1.2181922750677552
0.935,1.2197621386653266
0.935,1.2213292197261783
0.935,1.222893572841548
0.96,1.2244552528377444
0.96,1.2260143147883817
0.96,1.2275708140269261
0.96,1.2291248061595685
0.96,1.2306763470784274
0.96,1.2322254929751009
0.96,1.2337723003545817
0.985,1.2353168260495428
0.985,1.2368591272350153
0.985,1.2383992614434656
0.985,1.239937286580297
0.985,1.2414732609397823
0.985,1.2430072432214516
0.985,1.2445392925469505
0.985,1.2460694684773845
0.985,1.2475978310311755
0.985,1.2491244407024453
1.035,1.2506493584799476
1.035,1.2521726458665767
1.035,1.2536943648994663
1.035,1.2552145781707131
1.035,1.2567333488487424
1.035,1.2582507407003483
1.035,1.259766818113433
1.035,1.2612816461204759
1.035,1.2627952904227644
1.035,1.2643078174154156
1.06,1.2658192942132258
1.06,1.2673297886773822
1.06,1.2688393694430742
1.06,1.2703481059480422
1.06,1.271856068462108
1.06,1.2733633281177288
1.085,1.2748699569416153
1.085,1.2763760278874734
1.085,1.2778816148699057
1.085,1.2793867927995373
1.085,1.2808916376194128
1.085,1.2823962263427322
1.085,1.283900637091976
1.085,1.2854049491394965
1.085,1.286909242949634
1.085,1.2884136002224378
1.085,1.2899181039390613
1.16,1.291422838408917
1.16,1.2929278893186757
1.16,1.2944333437831945
1.16,1.2959392903984757
1.16,1.2974458192967504
1.16,1.2989530222037977
1.16,1.3004609924986075
1.16,1.3019698252755068
1.16,1.3034796174088767
1.16,1.3049904676205901
1.16,1.3065024765503108
1.185,1.3080157468288092
1.185,1.3095303831544418
1.185,1.311046492372974
1.185,1.3125641835609168
1.185,1.3140835681125687
1.21,1.3156047598309657
1.21,1.3171278750229505
1.21,1.3186530325985897
1.21,1.3201803541751806
1.21,1.3217099641861065
1.235,1.323241989994811
1.235,1.324776562014187
1.235,1.326313813831693
1.235,1.3278538823405246
1.26,1.3293969078772006
1.26,1.3309430343659387
1.26,1.3324924094702322
1.26,1.3340451847520507
1.285,1.3356015158391379
1.285,1.3371615626008961
1.285,1.3387254893333898
1.285,1.3402934649540381
1.31,1.3418656632066048
1.31,1.3434422628771394
1.31,1.3450234480215753
1.31,1.346609408205734
1.335,1.3482003387585517
1.335,1.349796441039396
1.335,1.3513979227204125
1.335,1.3530049980849137
1.36,1.3546178883428956
1.36,1.356236821964858
1.36,1.3578620350351938
1.36,1.3594937716265174
1.385,1.3611322841964029
1.385,1.3627778340081365
1.385,1.3644306915772044
1.41,1.3660911371453885
1.41,1.3677594611844934
1.41,1.3694359649319003
1.41,1.3711209609603294
1.435,1.372814773784389
1.435,1.3745177405067255
1.435,1.376230211506813
1.46,1.3779525511757076
1.46,1.3796851387003644
1.46,1.3814283689014522
1.485,1.3831826531289386
1.485,1.3849484202201112
1.485,1.386726117525119
1.485,1.3885162120055863
1.535,1.3903191914123492
1.535,1.39213556554894
1.535,1.3939658676280389
1.535,1.3958106557287946
1.56,1.3976705143636505
1.56,1.3995460561641102
1.585,1.4014379236957715
1.585,1.4033467914139022
1.585,1.4052733677719016
1.585,1.4072183974961137
1.635,1.409182664041711
1.635,1.411166992245704
1.635,1.4131722511945664
1.66,1.4151993573255208
1.66,1.4172492777821568
1.66,1.419323034046786
1.71,1.4214217058737224
1.71,1.4235464355495155
1.71,1.4256984325079802
1.735,1.427878978329627
1.735,1.4300894321567064
1.76,1.4323312365563867
1.76,1.4346059238654745
1.785,1.4369151230502564
1.81,1.4392605671142404
1.81,1.441644101084333
1.835,1.444067690601757
1.835,1.4465334311370295
1.86,1.4490435578375744
1.86,1.4516004560007003
1.86,1.4542066721419757
1.96,1.4568649255971786
1.96,1.459578120551973
1.96,1.4623493583333547
1.96,1.4651819497156964
1.96,1.4680794268854398
1.96,1.4710455545640455
2.11,1.4740843395985426
2.11,1.4772000380806625
2.11,1.480397158734425
2.11,1.4836804609016694
2.16,1.4870549449378752
2.16,1.490525832190465
2.21,1.49409853095794
2.235,1.4977785839227142
2.26,1.5015715915402934
2.285,1.5054831048223452
2.31,1.5095184800104013
2.31,1.5136826870430846
2.435,1.517980063858498
2.435,1.5224140100071384
2.485,1.5269866165243948
2.51,1.5316982353896778
2.56,1.5365470019739962
2.61,1.5415283379868363
2.635,1.5466344798586535
2.66,1.5518540957423976
2.735,1.5571720685907187
2.735,1.562569526223332
2.835,1.5680241847433847
2.86,1.5735110348614512
2.91,1.5790033443554456
2.985,1.5844738859392202
2.985,1.58989624714489
3.06,1.595246056129808
3.085,1.6005019739578066
3.11,1.6056463546171031
3.16,1.6106655413221476
3.16,1.6155498303786895
3.235,1.6202931765538622
3.285,1.624892731210065
3.285,1.6293483002317874
3.31,1.6336617913891218
3.335,1.6378366987480704
3.36,1.6418776511119901
3.385,1.6457900353192334
3.435,1.6495796942463956
3.435,1.6532526929451903
3.435,1.656815143325984
3.485,1.660273077034214
3.485,1.6636323567085758
3.51,1.6668986169967746
3.51,1.670077228111867
3.51,1.6731732760967213
3.585,1.6761915552047764
3.585,1.679136568855955
3.585,1.6820125364834673
3.585,1.684823404267538
3.585,1.6875728582814915
3.585,1.6902643389811856
3.66,1.6929010562755433
3.66,1.6954860046454068
3.66,1.6980219779478924
3.66,1.7005115836680647
3.66,1.7029572564701931
3.66,1.7053612709657393
3.66,1.7077257536611028
3.735,1.7100526940800154
3.735,1.7123439550770614
3.735,1.7146012823729233
3.735,1.7168263133506716
3.735,1.7190205851573057
3.735,1.7211855421569298
3.735,1.723322542782238
3.735,1.7254328658300313
3.785,1.7275177162446884
3.785,1.729578230431229
3.785,1.731615481137025
3.785,1.7336304819385164
3.785,1.7356241913665866
3.785,1.73759751670159
3.81,1.739551317466493
3.81,1.7414864086441821
3.81,1.743403563642743
3.81,1.7453035170304263
3.81,1.7471869670600868
3.81,1.7490545780011097
3.81,1.7509069822952186
3.81,1.7527447825510718
3.81,1.7545685533912168
3.885,1.7563788431637308
3.885,1.7581761755297776
3.885,1.759961050937286
3.885,1.761733947990051
3.885,1.763495324720717
3.885,1.7652456197753639
3.885,1.7669852535167194
3.885,1.7687146290524163
3.885,1.7704341331941464
3.885,1.7721441373530609
3.885,1.7738449983762992
3.885,1.7755370593291193
3.885,1.7772206502267212
3.885,1.778896088719505
3.885,1.7805636807352068
3.885,1.782223721081051
3.885,1.7838764940088243
3.885,1.785522273745518
3.885,1.787161324991986
3.885,1.788793903391865
3.885,1.7904202559728248
3.885,1.7920406215620603
3.885,1.793655231177776
3.885,1.795264308398292
3.885,1.7968680697102668
3.885,1.7984667248374226
4.01,1.8000604770510544
4.01,1.8016495234635066
4.01,1.8032340553057153
4.01,1.8048142581898365
4.01,1.8063903123578993
4.01,1.8079623929173625
4.01,1.8095306700643896
4.01,1.8110953092955917
4.01,1.8126564716089493
4.01,1.8142143136945612
4.01,1.8157689881158308
4.01,1.8173206434816596
4.01,1.8188694246101726
4.01,1.820415472684475
4.01,1.8219589254008934
4.01,1.8234999171101387
4.01,1.8250385789517893
4.01,1.826575038982471
4.01,1.8281094222980856
4.01,1.8296418511504173
4.01,1.8311724450584284
4.01,1.8327013209145273
4.01,1.8342285930860849
4.01,1.8357543735124546
4.01,1.8372787717977297
4.01,1.8388018952994671
