b,alpha
0.335,0.057236124236148773
0.335,0.1140999869681894
0.335,0.170233848287881
0.335,0.22530725872420607
0.385,0.27902755655794664
0.385,0.3311471793697916
0.385,0.3814675434969671
0.385,0.42983968095295133
0.385,0.47616214867394535
0.385,0.5203769051180346
0.435,0.5624638910941112
0.435,0.6024349877951788
0.435,0.6403278983036151
0.435,0.676200348841536
0.485,0.7101248617795993
0.485,0.7421842308731206
0.485,0.7724677370346349
0.51,0.8010680797886572
0.51,0.8280789611738949
0.535,0.8535932394951236
0.535,0.8777015644141237
0.56,0.9004914075507134
0.585,0.9220464104176197
0.585,0.942445981474662
0.61,0.9617650846766685
0.635,0.980074172037444
0.635,0.9974392219031007
0.66,1.0139218525648228
0.685,1.0295794875251962
0.685,1.044465554218119
0.71,1.058629702415511
0.71,1.0721180320757644
0.76,1.084973323154014
0.76,1.0972352620377142
0.76,1.1089406609143213
0.81,1.120123667626702
0.81,1.130815964503578
0.86,1.1410469553459137
0.86,1.15084394025211
0.86,1.1602322783251793
0.91,1.169235538554755
0.91,1.1778756393359826
0.935,1.1861729771926701
0.96,1.194146545335621
0.96,1.2018140427135418
0.985,1.2091919742212651
0.985,1.2162957427167986
1.035,1.2231397334773684
1.035,1.229737391694497
1.06,1.236101293573766
1.085,1.242243211569053
1.085,1.248174174243714
1.085,1.2539045212145636
1.16,1.259443953599097
1.16,1.26480158035237
1.185,1.269985960847647
1.185,1.275005144025303
1.21,1.2798667044060767
1.235,1.2845777752391738
1.26,1.2891450790318144
1.285,1.2935749556847338
1.285,1.2978733884385725
1.31,1.3020460278172505
1.335,1.306098213738096
1.36,1.3100349959431563
1.36,1.313861152892318
1.385,1.3175812092462587
1.41,1.3211994520558805
1.435,1.32471994576451
1.46,1.328146546119676
1.46,1.33148291308279
1.485,1.3347325228173645
1.485,1.3378986788291423
1.535,1.3409845223254666
1.56,1.3439930418551025
1.56,1.3469270822846318
1.585,1.349789353162736
1.585,1.3525824365193146
1.635,1.3553087941424051
1.635,1.3579707743723537
1.66,1.3605706184493205
1.71,1.3631104664473204
1.71,1.3655923628252011
1.735,1.368018261622523
1.735,1.3703900313260982
1.76,1.3727094594307443
1.785,1.3749782567161446
1.81,1.3771980612597388
1.835,1.3793704422042186
1.86,1.381496903296643
1.86,1.383578886214886
1.86,1.385617773695971
1.86,1.3876148924796905
1.96,1.3895715160799438
1.96,1.3914888673952583
1.96,1.393368121169134
1.96,1.395210406310042
1.96,1.3970168080802337
1.96,1.398788370161791
2.11,1.4005260966077877
2.11,1.4022309536858688
2.11,1.4039038716209906
2.11,1.4055457462436551
2.11,1.4071574405494722
2.16,1.408739786175515
2.16,1.4102935847985463
2.185,1.4118196094598314
2.21,1.4133186058209768
2.235,1.4147912933548659
2.26,1.416238366475575
2.285,1.4176604956108125
2.285,1.4190583282202622
2.31,1.4204324897629337
2.31,1.4217835846164615
2.31,1.423112196951084
2.435,1.424418891560869
2.435,1.4257042146545742
2.435,1.426968694608409
2.435,1.4282128426827845
2.435,1.4294371537050468
2.485,1.4306421067200412
2.51,1.4318281656102314
2.51,1.4329957796870496
2.56,1.4341453842549639
2.56,1.4352774011497487
2.585,1.4363922392522883
2.61,1.4374902949792059
2.635,1.4385719527515155
2.635,1.4396375854424257
2.66,1.4406875548053717
2.66,1.4417222118832675
2.735,1.4427418973999346
2.735,1.4437469421345996
2.735,1.4447376672802994
2.735,1.4457143847869958
2.835,1.4466773976901488
2.835,1.4476270004254492
